지역,위도,경도
서울,37.5666103,126.9783882
서울>도심지역,,
서울>여의도마포지역,,
서울>강남지역,,
서울>기타지역,,
서울>도심지역>신문로지역,,
서울>도심지역>우정국로지역,,
서울>도심지역>무교지역,,
서울>도심지역>청계지역,,
서울>도심지역>서울역지역,,
서울>도심지역>남대문지역,,
서울>도심지역>명동지역,,
서울>도심지역>기타지역,,
서울>여의도마포지역>마포지역,,
서울>여의도마포지역>국회앞지역,,
서울>여의도마포지역>여의도중앙지역,,
서울>여의도마포지역>증권거래소지역,,
서울>여의도마포지역>영등포지역,,
서울>강남지역>방배지역,,
서울>강남지역>서초지역,,
서울>강남지역>도산로지역,,
서울>강남지역>역삼북부지역,,
서울>강남지역>선릉북부지역,,
서울>강남지역>삼성북부지역,,
서울>강남지역>역삼남부지역,,
서울>강남지역>선릉남부지역,,
서울>강남지역>삼성남부지역,,
서울>강남지역>양재지역,,
서울>강남지역>송파지역,,
서울>기타지역>충정로지역,,
서울>기타지역>노원지역,,
서울>기타지역>동대문성동지역,,
서울>기타지역>용산지역,,
서울>기타지역>강서목동지역,,
서울>기타지역>구로지역,,
서울>기타지역>사당지역,,
서울>기타지역>천호지역,,
서울>도심,,
서울>강남,,
서울>여의도마포,,
서울>기타,,
서울>도심>광화문,,
서울>도심>동대문,,
서울>도심>명동,,
서울>도심>종로,,
서울>도심>충무로,,
서울>강남>강남대로,,
서울>강남>도산대로,,
서울>강남>서초,,
서울>강남>테헤란로,,
서울>여의도마포>공덕역,,
서울>여의도마포>여의도,,
서울>여의도마포>영등포,,
서울>기타>목동,,
서울>기타>사당,,
서울>기타>용산,,
서울>기타>잠실,,
서울>기타>장안동,37.567842,127.066375
서울>기타>천호,37.5450159,127.1368066
서울>기타>화곡,,
서울>강남>논현역,,
서울>강남>신사역,,
서울>도심>남대문,,
서울>도심>시청,,
서울>도심>을지로,,
서울>강남>교대역,,
서울>강남>남부터미널,,
서울>여의도마포>당산역,,
서울>여의도마포>영등포역,,
서울>기타>숙명여대,,
서울>기타>용산역,,
서울>기타>잠실/송파,,
서울>기타>잠실새내역,,
서울>기타>홍대/합정,,
부산>남포동,,
부산>부산역,,
