STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지역,지표
A_2024_00680,QY,200901,,,500002,서울,100001,임대료,18.7,천원/㎡,,서울,임대료,2009년 1분기,서울전체,임대료
A_2024_00678,QY,200901,,,500002,서울,100001,공실률,4.9,%,,서울,공실률,2009년 1분기,서울전체,공실률
A_2024_00680,QY,200901,,,510003,도심지역,100001,임대료,21.2,천원/㎡,,서울>도심지역,임대료,2009년 1분기,CBD,임대료
A_2024_00678,QY,200901,,,510003,도심지역,100001,공실률,4.2,%,,서울>도심지역,공실률,2009년 1분기,CBD,공실률
A_2024_00680,QY,200901,,,510004,여의도마포지역,100001,임대료,15,천원/㎡,,서울>여의도마포지역,임대료,2009년 1분기,YBD,임대료
A_2024_00678,QY,200901,,,510004,여의도마포지역,100001,공실률,3.6,%,,서울>여의도마포지역,공실률,2009년 1분기,YBD,공실률
A_2024_00680,QY,200901,,,510005,강남지역,100001,임대료,20.8,천원/㎡,,서울>강남지역,임대료,2009년 1분기,GBD,임대료
A_2024_00678,QY,200901,,,510005,강남지역,100001,공실률,4.4,%,,서울>강남지역,공실률,2009년 1분기,GBD,공실률
A_2024_00680,QY,200901,,,510006,기타지역,100001,임대료,13.8,천원/㎡,,서울>기타지역,임대료,2009년 1분기,Others,임대료
A_2024_00678,QY,200901,,,510006,기타지역,100001,공실률,8.7,%,,서울>기타지역,공실률,2009년 1분기,Others,공실률
A_2024_00680,QY,200901,,,520004,신문로지역,100001,임대료,23.9,천원/㎡,,서울>도심지역>신문로지역,임대료,2009년 1분기,CBD_신문로,임대료
A_2024_00678,QY,200901,,,520004,신문로지역,100001,공실률,0.5,%,,서울>도심지역>신문로지역,공실률,2009년 1분기,CBD_신문로,공실률
A_2024_00680,QY,200901,,,520005,우정국로지역,100001,임대료,24.8,천원/㎡,,서울>도심지역>우정국로지역,임대료,2009년 1분기,CBD_우정국로,임대료
A_2024_00678,QY,200901,,,520005,우정국로지역,100001,공실률,6,%,,서울>도심지역>우정국로지역,공실률,2009년 1분기,CBD_우정국로,공실률
A_2024_00680,QY,200901,,,520006,무교지역,100001,임대료,22.2,천원/㎡,,서울>도심지역>무교지역,임대료,2009년 1분기,CBD_무교,임대료
A_2024_00678,QY,200901,,,520006,무교지역,100001,공실률,2,%,,서울>도심지역>무교지역,공실률,2009년 1분기,CBD_무교,공실률
A_2024_00680,QY,200901,,,520007,청계지역,100001,임대료,22.3,천원/㎡,,서울>도심지역>청계지역,임대료,2009년 1분기,CBD_청계,임대료
A_2024_00678,QY,200901,,,520007,청계지역,100001,공실률,6.2,%,,서울>도심지역>청계지역,공실률,2009년 1분기,CBD_청계,공실률
A_2024_00680,QY,200901,,,520008,서울역지역,100001,임대료,18.4,천원/㎡,,서울>도심지역>서울역지역,임대료,2009년 1분기,CBD_서울역,임대료
A_2024_00678,QY,200901,,,520008,서울역지역,100001,공실률,4.8,%,,서울>도심지역>서울역지역,공실률,2009년 1분기,CBD_서울역,공실률
A_2024_00680,QY,200901,,,520009,남대문지역,100001,임대료,20.3,천원/㎡,,서울>도심지역>남대문지역,임대료,2009년 1분기,CBD_남대문,임대료
A_2024_00678,QY,200901,,,520009,남대문지역,100001,공실률,4.1,%,,서울>도심지역>남대문지역,공실률,2009년 1분기,CBD_남대문,공실률
A_2024_00680,QY,200901,,,520010,명동지역,100001,임대료,16.5,천원/㎡,,서울>도심지역>명동지역,임대료,2009년 1분기,CBD_명동,임대료
A_2024_00678,QY,200901,,,520010,명동지역,100001,공실률,5.1,%,,서울>도심지역>명동지역,공실률,2009년 1분기,CBD_명동,공실률
A_2024_00680,QY,200901,,,520011,기타지역,100001,임대료,10.5,천원/㎡,,서울>도심지역>기타지역,임대료,2009년 1분기,CBD_기타,임대료
A_2024_00678,QY,200901,,,520011,기타지역,100001,공실률,6.2,%,,서울>도심지역>기타지역,공실률,2009년 1분기,CBD_기타,공실률
A_2024_00680,QY,200901,,,520013,마포지역,100001,임대료,13.4,천원/㎡,,서울>여의도마포지역>마포지역,임대료,2009년 1분기,YBD_마포,임대료
A_2024_00678,QY,200901,,,520013,마포지역,100001,공실률,7.9,%,,서울>여의도마포지역>마포지역,공실률,2009년 1분기,YBD_마포,공실률
A_2024_00680,QY,200901,,,520014,국회앞지역,100001,임대료,9.4,천원/㎡,,서울>여의도마포지역>국회앞지역,임대료,2009년 1분기,YBD_국회앞,임대료
A_2024_00678,QY,200901,,,520014,국회앞지역,100001,공실률,6.1,%,,서울>여의도마포지역>국회앞지역,공실률,2009년 1분기,YBD_국회앞,공실률
A_2024_00680,QY,200901,,,520015,여의도중앙지역,100001,임대료,15.1,천원/㎡,,서울>여의도마포지역>여의도중앙지역,임대료,2009년 1분기,YBD_여의도중앙,임대료
A_2024_00678,QY,200901,,,520015,여의도중앙지역,100001,공실률,2.9,%,,서울>여의도마포지역>여의도중앙지역,공실률,2009년 1분기,YBD_여의도중앙,공실률
A_2024_00680,QY,200901,,,520016,증권거래소지역,100001,임대료,17.7,천원/㎡,,서울>여의도마포지역>증권거래소지역,임대료,2009년 1분기,YBD_증권거래소,임대료
A_2024_00678,QY,200901,,,520016,증권거래소지역,100001,공실률,1.1,%,,서울>여의도마포지역>증권거래소지역,공실률,2009년 1분기,YBD_증권거래소,공실률
