STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지표
A_2024_00678,QY,200901,,,500002,서울,100001,공실률,4.9,%,,서울,공실률,2009년 1분기,공실률
A_2024_00680,QY,200901,,,500002,서울,100001,임대료,18.7,천원/㎡,,서울,임대료,2009년 1분기,임대료
A_2024_00682,QY,200901,,,500002,서울,100001,투자수익률,-0.65,%,,서울,투자수익률,2009년 1분기,투자수익률
A_2024_00678,QY,200901,,,510003,도심지역,100001,공실률,4.2,%,,서울>도심지역,공실률,2009년 1분기,공실률
A_2024_00680,QY,200901,,,510003,도심지역,100001,임대료,21.2,천원/㎡,,서울>도심지역,임대료,2009년 1분기,임대료
A_2024_00682,QY,200901,,,510003,도심지역,100001,투자수익률,0.0,%,,서울>도심지역,투자수익률,2009년 1분기,투자수익률
A_2024_00678,QY,200901,,,510004,여의도마포지역,100001,공실률,3.6,%,,서울>여의도마포지역,공실률,2009년 1분기,공실률
A_2024_00680,QY,200901,,,510004,여의도마포지역,100001,임대료,15.0,천원/㎡,,서울>여의도마포지역,임대료,2009년 1분기,임대료
A_2024_00682,QY,200901,,,510004,여의도마포지역,100001,투자수익률,-0.99,%,,서울>여의도마포지역,투자수익률,2009년 1분기,투자수익률
A_2024_00678,QY,200901,,,510005,강남지역,100001,공실률,4.4,%,,서울>강남지역,공실률,2009년 1분기,공실률
A_2024_00680,QY,200901,,,510005,강남지역,100001,임대료,20.8,천원/㎡,,서울>강남지역,임대료,2009년 1분기,임대료
A_2024_00682,QY,200901,,,510005,강남지역,100001,투자수익률,-1.25,%,,서울>강남지역,투자수익률,2009년 1분기,투자수익률
A_2024_00678,QY,200901,,,510006,기타지역,100001,공실률,8.7,%,,서울>기타지역,공실률,2009년 1분기,공실률
A_2024_00680,QY,200901,,,510006,기타지역,100001,임대료,13.8,천원/㎡,,서울>기타지역,임대료,2009년 1분기,임대료
A_2024_00682,QY,200901,,,510006,기타지역,100001,투자수익률,-0.09,%,,서울>기타지역,투자수익률,2009년 1분기,투자수익률
A_2024_00678,QY,200902,,,500002,서울,100001,공실률,6.7,%,,서울,공실률,2009년 2분기,공실률
A_2024_00680,QY,200902,,,500002,서울,100001,임대료,18.9,천원/㎡,,서울,임대료,2009년 2분기,임대료
A_2024_00682,QY,200902,,,500002,서울,100001,투자수익률,2.47,%,,서울,투자수익률,2009년 2분기,투자수익률
A_2024_00678,QY,200902,,,510003,도심지역,100001,공실률,6.0,%,,서울>도심지역,공실률,2009년 2분기,공실률
A_2024_00680,QY,200902,,,510003,도심지역,100001,임대료,21.6,천원/㎡,,서울>도심지역,임대료,2009년 2분기,임대료
A_2024_00682,QY,200902,,,510003,도심지역,100001,투자수익률,2.12,%,,서울>도심지역,투자수익률,2009년 2분기,투자수익률
A_2024_00678,QY,200902,,,510004,여의도마포지역,100001,공실률,4.1,%,,서울>여의도마포지역,공실률,2009년 2분기,공실률
A_2024_00680,QY,200902,,,510004,여의도마포지역,100001,임대료,15.0,천원/㎡,,서울>여의도마포지역,임대료,2009년 2분기,임대료
A_2024_00682,QY,200902,,,510004,여의도마포지역,100001,투자수익률,2.9,%,,서울>여의도마포지역,투자수익률,2009년 2분기,투자수익률
A_2024_00678,QY,200902,,,510005,강남지역,100001,공실률,6.2,%,,서울>강남지역,공실률,2009년 2분기,공실률
A_2024_00680,QY,200902,,,510005,강남지역,100001,임대료,20.8,천원/㎡,,서울>강남지역,임대료,2009년 2분기,임대료
A_2024_00682,QY,200902,,,510005,강남지역,100001,투자수익률,2.89,%,,서울>강남지역,투자수익률,2009년 2분기,투자수익률
A_2024_00678,QY,200902,,,510006,기타지역,100001,공실률,11.9,%,,서울>기타지역,공실률,2009년 2분기,공실률
A_2024_00680,QY,200902,,,510006,기타지역,100001,임대료,13.8,천원/㎡,,서울>기타지역,임대료,2009년 2분기,임대료
A_2024_00682,QY,200902,,,510006,기타지역,100001,투자수익률,1.75,%,,서울>기타지역,투자수익률,2009년 2분기,투자수익률
A_2024_00678,QY,200903,,,500002,서울,100001,공실률,7.2,%,,서울,공실률,2009년 3분기,공실률
A_2024_00680,QY,200903,,,500002,서울,100001,임대료,18.9,천원/㎡,,서울,임대료,2009년 3분기,임대료
A_2024_00682,QY,200903,,,500002,서울,100001,투자수익률,1.78,%,,서울,투자수익률,2009년 3분기,투자수익률
A_2024_00678,QY,200903,,,510003,도심지역,100001,공실률,6.1,%,,서울>도심지역,공실률,2009년 3분기,공실률
A_2024_00680,QY,200903,,,510003,도심지역,100001,임대료,21.6,천원/㎡,,서울>도심지역,임대료,2009년 3분기,임대료
A_2024_00682,QY,200903,,,510003,도심지역,100001,투자수익률,1.91,%,,서울>도심지역,투자수익률,2009년 3분기,투자수익률
A_2024_00678,QY,200903,,,510004,여의도마포지역,100001,공실률,5.8,%,,서울>여의도마포지역,공실률,2009년 3분기,공실률
A_2024_00680,QY,200903,,,510004,여의도마포지역,100001,임대료,15.1,천원/㎡,,서울>여의도마포지역,임대료,2009년 3분기,임대료
A_2024_00682,QY,200903,,,510004,여의도마포지역,100001,투자수익률,2.41,%,,서울>여의도마포지역,투자수익률,2009년 3분기,투자수익률
A_2024_00678,QY,200903,,,510005,강남지역,100001,공실률,6.7,%,,서울>강남지역,공실률,2009년 3분기,공실률
A_2024_00680,QY,200903,,,510005,강남지역,100001,임대료,20.8,천원/㎡,,서울>강남지역,임대료,2009년 3분기,임대료
A_2024_00682,QY,200903,,,510005,강남지역,100001,투자수익률,1.4,%,,서울>강남지역,투자수익률,2009년 3분기,투자수익률
A_2024_00678,QY,200903,,,510006,기타지역,100001,공실률,11.4,%,,서울>기타지역,공실률,2009년 3분기,공실률
A_2024_00680,QY,200903,,,510006,기타지역,100001,임대료,13.9,천원/㎡,,서울>기타지역,임대료,2009년 3분기,임대료
A_2024_00682,QY,200903,,,510006,기타지역,100001,투자수익률,1.73,%,,서울>기타지역,투자수익률,2009년 3분기,투자수익률
A_2024_00678,QY,200904,,,500002,서울,100001,공실률,7.5,%,,서울,공실률,2009년 4분기,공실률
A_2024_00680,QY,200904,,,500002,서울,100001,임대료,19.0,천원/㎡,,서울,임대료,2009년 4분기,임대료
A_2024_00682,QY,200904,,,500002,서울,100001,투자수익률,2.06,%,,서울,투자수익률,2009년 4분기,투자수익률
A_2024_00678,QY,200904,,,510003,도심지역,100001,공실률,6.6,%,,서울>도심지역,공실률,2009년 4분기,공실률
A_2024_00680,QY,200904,,,510003,도심지역,100001,임대료,21.6,천원/㎡,,서울>도심지역,임대료,2009년 4분기,임대료
A_2024_00682,QY,200904,,,510003,도심지역,100001,투자수익률,2.43,%,,서울>도심지역,투자수익률,2009년 4분기,투자수익률
A_2024_00678,QY,200904,,,510004,여의도마포지역,100001,공실률,5.5,%,,서울>여의도마포지역,공실률,2009년 4분기,공실률
A_2024_00680,QY,200904,,,510004,여의도마포지역,100001,임대료,15.4,천원/㎡,,서울>여의도마포지역,임대료,2009년 4분기,임대료
A_2024_00682,QY,200904,,,510004,여의도마포지역,100001,투자수익률,1.99,%,,서울>여의도마포지역,투자수익률,2009년 4분기,투자수익률
A_2024_00678,QY,200904,,,510005,강남지역,100001,공실률,6.6,%,,서울>강남지역,공실률,2009년 4분기,공실률
A_2024_00680,QY,200904,,,510005,강남지역,100001,임대료,20.9,천원/㎡,,서울>강남지역,임대료,2009년 4분기,임대료
A_2024_00682,QY,200904,,,510005,강남지역,100001,투자수익률,1.86,%,,서울>강남지역,투자수익률,2009년 4분기,투자수익률
A_2024_00678,QY,200904,,,510006,기타지역,100001,공실률,12.6,%,,서울>기타지역,공실률,2009년 4분기,공실률
A_2024_00680,QY,200904,,,510006,기타지역,100001,임대료,14.0,천원/㎡,,서울>기타지역,임대료,2009년 4분기,임대료
